Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
Brown_J.bin.8	81.09	4.96	Neural Network (Specific Model)	11	0.807	6069	266.01927452817563	7371117	0.42	7471	1392	25232	None
Brown_J.bin.9	85.8	0.9	Gradient Boost (General Model)	11	0.915	13327	319.30403309203723	3029530	0.67	2901	282	59067	None
Brown_K.bin.1	74.93	1.47	Gradient Boost (General Model)	11	0.92	7880	295.21436314363143	3544195	0.62	3690	563	31865	None
Brown_K.bin.2	61.1	2.29	Gradient Boost (General Model)	11	0.884	7334	275.1151898734177	2207067	0.62	2370	417	26993	None
Brown_K.bin.3	78.55	1.59	Neural Network (Specific Model)	11	0.892	9904	307.05278737049827	4180358	0.42	4054	520	65863	None
Brown_K.bin.4	98.12	0.86	Gradient Boost (General Model)	11	0.918	12866	309.89153587443946	3604357	0.6	3568	409	42233	None
Brown_K.bin.7	63.1	3.82	Gradient Boost (General Model)	11	0.893	4186	266.2670377867746	5285074	0.69	5928	1417	23361	None
Brown_K.bin.8	71.87	1.36	Neural Network (Specific Model)	11	0.927	5938	278.5547607301431	3645262	0.65	4054	715	23279	None
Brown_M.bin.5	96.93	3.62	Gradient Boost (General Model)	11	0.901	12763	321.54079406631763	4898422	0.64	4584	568	63046	None
Brown_M.bin.6	56.11	3.43	Gradient Boost (General Model)	11	0.921	2184	229.0400586223742	3047939	0.69	4094	1441	9788	None
Brown_N.bin.1	92.96	1.67	Neural Network (Specific Model)	11	0.897	44474	349.2653414001729	4046975	0.59	3471	168	110602	None
Brown_O.bin.1	67.66	3.44	Neural Network (Specific Model)	11	0.882	8085	301.8890876565295	3438710	0.6	3354	633	38690	None
Brown_O.bin.3	56.97	5.26	Gradient Boost (General Model)	11	0.911	1906	224.68973074514716	2358760	0.35	3194	1278	8681	None
Brown_P.bin.1	79.82	3.65	Gradient Boost (General Model)	11	0.915	4972	260.89003810560695	3135861	0.7	3674	762	19635	None
Brown_P.bin.10	81.97	1.76	Gradient Boost (General Model)	11	0.9	5630	295.71806729389255	6169149	0.72	6271	1338	33667	None
Brown_P.bin.2	94.12	1.26	Neural Network (Specific Model)	11	0.927	24174	325.84496622708264	3271308	0.59	3109	215	75788	None
Brown_P.bin.3	59.94	4.45	Gradient Boost (General Model)	11	0.889	2084	245.8418837148119	3143517	0.55	3801	1553	14634	None
Brown_P.bin.5	59.08	3.37	Neural Network (Specific Model)	11	0.933	3598	265.2831519548569	4223098	0.68	4962	1285	12951	None
Brown_P.bin.6	99.92	3.37	Gradient Boost (General Model)	11	0.892	5854	236.80066889632107	1187177	0.47	1495	271	17494	None
Brown_Q.bin.2	98.73	1.21	Gradient Boost (General Model)	11	0.929	52749	334.86344537815125	4108871	0.65	3808	131	204833	None
Brown_Q.bin.3	87.53	1.95	Gradient Boost (General Model)	11	0.926	16852	300.4648705758056	3678269	0.7	3786	338	65125	None
Brown_Q.bin.4	94.73	2.24	Gradient Boost (General Model)	11	0.883	35973	340.913115530303	4885098	0.61	4224	233	131972	None
Brown_Q.bin.7	80.1	0.85	Gradient Boost (General Model)	11	0.916	9791	289.11911658218685	2610172	0.72	2762	351	46784	None
Brown_R.bin.1	69.64	0.49	Gradient Boost (General Model)	11	0.905	4929	276.3321939092604	2939609	0.61	3218	700	22272	None
Brown_R.bin.3	92.48	1.81	Gradient Boost (General Model)	11	0.921	14396	298.65010475905416	3238763	0.66	3341	350	66633	None
Brown_R.bin.4	46.27	0.22	Gradient Boost (General Model)	11	0.899	3178	261.7705671946857	1706052	0.64	1957	571	11210	None
Brown_R.bin.8	75.85	1.38	Gradient Boost (General Model)	11	0.901	6187	289.29875246224555	2927214	0.65	3046	585	30218	None
Brown_R.bin.9	50.88	1.37	Gradient Boost (General Model)	11	0.894	2891	233.8827361563518	2403410	0.6	3070	916	11326	None
Brown_S.bin.2	63.52	3.43	Neural Network (Specific Model)	11	0.876	2501	237.91727140783743	3919582	0.4	4823	1708	12521	None
Brown_S.bin.4	82.27	0.51	Gradient Boost (General Model)	11	0.888	15213	319.3939393939394	2806479	0.64	2607	256	49038	None
Brown_S.bin.5	76.02	3.83	Gradient Boost (General Model)	11	0.933	10625	328.61379106244453	3562698	0.67	3379	410	43698	None
Brown_T.bin.10	92.67	2.61	Gradient Boost (General Model)	11	0.93	8450	294.21819870009284	3056759	0.71	3231	456	37111	None
Brown_T.bin.12	58.82	3.83	Neural Network (Specific Model)	11	0.875	9836	323.4852272727273	2924642	0.61	2640	437	50142	None
Brown_T.bin.2	68.03	0.91	Neural Network (Specific Model)	11	0.905	13094	333.3841201716738	3085410	0.59	2796	329	41664	None
Brown_T.bin.5	79.71	2.02	Neural Network (Specific Model)	11	0.872	12723	318.7292202227935	3831845	0.62	3501	454	77764	None
Brown_T.bin.6	68.8	3.83	Gradient Boost (General Model)	11	0.925	8658	286.51308188922866	2726143	0.64	2943	355	57844	None
Brown_T.bin.8	60.95	6.03	Gradient Boost (General Model)	11	0.9	3424	259.21065459610026	4947682	0.71	5744	1570	28076	None
Brown_U.bin.1	59.23	5.87	Gradient Boost (General Model)	11	0.872	2359	232.5893009377664	3741321	0.63	4692	1672	12822	None
Brown_V.bin.1	88.26	1.16	Gradient Boost (General Model)	11	0.938	24210	329.8661616161616	3751208	0.62	3564	201	82846	None
Brown_V.bin.2	67.03	7.44	Gradient Boost (General Model)	11	0.895	8776	283.88921240355216	6516445	0.7	6869	898	48344	None
Brown_W.bin.1	58.22	1.75	Gradient Boost (General Model)	11	0.885	3992	263.9210134128167	4192738	0.7	4697	1171	32928	None
Brown_W.bin.3	52.82	4.51	Gradient Boost (General Model)	11	0.918	6877	299.96044845842414	3138735	0.6	3211	506	30902	None
Brown_W.bin.4	96.29	1.39	Neural Network (Specific Model)	11	0.883	52344	326.1513307984791	5817184	0.57	5260	238	197363	None
Brown_W.bin.5	48.36	4.53	Gradient Boost (General Model)	11	0.878	2914	259.41703339373544	3415076	0.58	3863	1228	14985	None
Brown_W.bin.6	42.98	2.59	Gradient Boost (General Model)	11	0.925	2072	228.96085672082717	2004646	0.62	2708	1012	8133	None
Brown_X.bin.1	94.59	2.14	Neural Network (Specific Model)	11	0.879	23083	331.4339297262341	5237261	0.57	4639	325	102761	None
Brown_X.bin.4	86.85	1.91	Gradient Boost (General Model)	11	0.926	11433	315.67661971830984	3620404	0.66	3550	436	49249	None
Brown_Y.bin.1	71.51	2.84	Gradient Boost (General Model)	11	0.889	9902	298.8087742799732	3007586	0.6	2986	374	49271	None
Brown_Y.bin.2	95.93	2.45	Gradient Boost (General Model)	11	0.943	26083	326.5770650669128	4490726	0.6	4334	270	69379	None
Brown_Y.bin.3	83.81	1.92	Neural Network (Specific Model)	11	0.929	11668	315.1616318099664	3934800	0.5	3873	486	45853	None
Brown_Y.bin.4	66.68	4.39	Gradient Boost (General Model)	11	0.917	3466	275.3734939759036	3504652	0.52	3901	1097	12107	None
Brown_Y.bin.6	92.68	2.76	Gradient Boost (General Model)	11	0.935	8151	293.6916545366327	3876358	0.69	4122	628	29527	None
Brown_Y.bin.7	69.76	6.35	Gradient Boost (General Model)	11	0.898	9547	297.55354691075513	4332459	0.55	4370	557	47426	None
Brown_Z.bin.1	85.66	1.89	Gradient Boost (General Model)	11	0.794	7484	271.5139677492619	9007074	0.44	8806	1528	47848	None
Brown_Z.bin.2	82.85	4.16	Gradient Boost (General Model)	11	0.893	4895	260.7360035735557	5869504	0.71	6716	1459	21829	None
Brown_Z.bin.4	48.09	1.48	Gradient Boost (General Model)	11	0.901	2315	228.06244451021013	2558727	0.66	3379	1178	34456	None
Brown_Z.bin.5	72.44	1.5	Neural Network (Specific Model)	11	0.889	5090	272.37303735787765	3388439	0.46	3694	758	28772	None
Brown_Z.bin.6	87.36	6.9	Gradient Boost (General Model)	11	0.877	6366	244.69175991861647	1640446	0.39	1966	453	37000	None
Brown_Z.bin.7	75.88	2.48	Neural Network (Specific Model)	11	0.9	15792	326.90252565114446	2757195	0.62	2534	222	44879	None
Green_AA.bin.3	96.32	1.12	Gradient Boost (General Model)	11	0.899	25468	312.58672126352735	3556165	0.63	3419	190	115175	None
Green_AA.bin.5	55.26	1.88	Gradient Boost (General Model)	11	0.908	3031	261.49981067777355	2276308	0.64	2641	810	10567	None
Green_AD.bin.2	71.36	1.25	Neural Network (Specific Model)	11	0.796	5687	267.4658143413007	5431170	0.41	5397	1080	29705	None
Green_AK.bin.2	70.57	0.19	Neural Network (Specific Model)	11	0.87	4733	282.5350695472033	3285790	0.68	3379	791	22055	None
Green_AK.bin.3	60.1	1.08	Gradient Boost (General Model)	11	0.897	2713	250.69158496732027	2047799	0.41	2448	772	10607	None
Green_AK.bin.4	67.86	1.13	Gradient Boost (General Model)	11	0.903	3293	260.3977234683629	2577126	0.62	2987	871	11371	None
Green_AK.bin.5	94.81	0.08	Neural Network (Specific Model)	11	0.875	18240	354.47258566978195	3893465	0.64	3210	348	97275	None
Green_AK.bin.6	64.73	2.31	Gradient Boost (General Model)	11	0.891	2657	233.37942664418213	3246050	0.61	4151	1303	10687	None
Green_AK.bin.8	84.34	0.53	Neural Network (Specific Model)	11	0.876	24056	291.79065341509835	4720543	0.61	4729	383	157688	None
Green_AM.bin.2	61.77	2.57	Gradient Boost (General Model)	11	0.91	2567	259.54410796576695	2593832	0.64	3038	1079	9984	None
Green_AM.bin.3	84.93	1.2	Gradient Boost (General Model)	11	0.84	4779	271.49871189351654	4509933	0.4	4658	1063	17035	None
Green_AO.bin.1	82.97	4.21	Gradient Boost (General Model)	11	0.926	4550	269.06158557332424	2556538	0.68	2939	643	22609	None
Green_AO.bin.2	51.74	5.2	Gradient Boost (General Model)	11	0.894	2534	233.25704111362901	2412336	0.65	3089	939	10744	None
Green_AO.bin.3	95.89	2.8	Neural Network (Specific Model)	11	0.91	11209	306.8548245614035	4602934	0.68	4560	583	41407	None
Green_AO.bin.4	81.96	1.24	Neural Network (Specific Model)	11	0.825	6842	300.91571018651365	6092251	0.46	5576	1112	32363	None
Green_AO.bin.5	82.74	2.52	Gradient Boost (General Model)	11	0.899	6151	271.603899191631	3802874	0.68	4206	765	44303	None
Green_AP.bin.1	87.29	3.04	Neural Network (Specific Model)	11	0.864	16185	291.3945502053005	5410580	0.62	5358	515	96006	None
Green_AP.bin.10	74.23	1.09	Neural Network (Specific Model)	11	0.883	8918	275.4646401985112	3010729	0.68	3224	493	39373	None
Green_AP.bin.11	99.96	0.56	Neural Network (Specific Model)	11	0.89	42191	349.0790142276423	4624612	0.6	3936	182	156965	None
Green_AP.bin.12	97.94	4.56	Gradient Boost (General Model)	11	0.928	18523	318.01537988311287	3334091	0.7	3251	279	79633	None
Green_AP.bin.13	68.47	2.06	Gradient Boost (General Model)	11	0.883	4505	267.6056629834254	3942232	0.69	4344	982	19438	None
Green_AP.bin.14	99.0	0.08	Neural Network (Specific Model)	11	0.882	32771	341.74258037922505	5631836	0.62	4852	287	116884	None
Green_AP.bin.2	88.39	0.46	Neural Network (Specific Model)	11	0.885	6808	294.5159817351598	3494544	0.63	3504	663	41392	None
Green_AP.bin.3	71.64	1.05	Neural Network (Specific Model)	11	0.843	6924	261.48862581244197	4000853	0.69	4308	677	45791	None
Green_AP.bin.4	85.06	2.54	Gradient Boost (General Model)	11	0.878	10653	279.82544378698225	3225372	0.69	3380	446	53903	None
Green_AP.bin.5	71.24	4.05	Neural Network (Specific Model)	11	0.913	2906	262.06138668128256	3134541	0.69	3649	1150	11548	None
Green_AP.bin.6	52.7	2.01	Neural Network (Specific Model)	11	0.91	2670	240.63699379788397	2168704	0.71	2741	861	9490	None
Green_AP.bin.7	83.32	4.03	Neural Network (Specific Model)	11	0.891	6322	292.19702023571267	4415851	0.61	4497	893	37254	None
Green_AP.bin.8	66.13	3.45	Neural Network (Specific Model)	11	0.899	16090	305.4837809557028	2915499	0.66	2867	295	78177	None
Green_AP.bin.9	80.9	0.19	Neural Network (Specific Model)	11	0.919	4633	280.05787781350483	2554701	0.71	2799	635	19391	None
Green_K.bin.1	82.08	2.76	Neural Network (Specific Model)	11	0.901	8912	305.21899927483685	2798081	0.61	2758	400	56098	None
Green_K.bin.2	60.26	7.51	Neural Network (Specific Model)	11	0.897	4421	282.8735408560311	2427029	0.6	2570	616	15581	None
Green_K.bin.3	54.8	4.48	Gradient Boost (General Model)	11	0.895	2310	223.79147331786544	2581158	0.64	3448	1164	12328	None
Green_K.bin.4	61.09	2.3	Gradient Boost (General Model)	11	0.911	2372	246.34489979060723	2705768	0.64	3343	1207	11097	None
Green_M.bin.1	97.36	0.1	Gradient Boost (General Model)	11	0.9	29852	343.765	4119461	0.58	3600	226	185268	None
Green_M.bin.2	70.36	4.66	Gradient Boost (General Model)	11	0.874	2989	269.36264790534057	5771535	0.5	6254	2101	34347	None
Green_N.bin.2	87.88	0.41	Gradient Boost (General Model)	11	0.898	8482	297.60336817653894	3415207	0.64	3444	520	46481	None
Green_N.bin.3	65.22	3.06	Neural Network (Specific Model)	11	0.794	2952	232.14150943396226	464033	0.25	530	167	10620	None
Green_N.bin.4	46.6	2.22	Gradient Boost (General Model)	11	0.891	1800	228.93545751633988	2825890	0.6	3672	1608	5888	None
Green_O.bin.2	45.68	0.02	Neural Network (Specific Model)	11	0.929	4814	286.10947471772215	1879541	0.7	2037	454	19747	None
Green_P.bin.4	84.36	2.42	Gradient Boost (General Model)	11	0.907	7577	290.11943447984805	4538646	0.69	4739	745	31394	None
Green_P.bin.6	100.0	2.42	Gradient Boost (General Model)	11	0.92	32852	315.68088986141504	5629353	0.68	5484	312	117915	None
Green_P.bin.7	83.93	5.76	Neural Network (Specific Model)	11	0.88	9178	310.25215089344806	4786605	0.57	4533	662	38593	None
Green_Q.bin.1	92.59	0.27	Gradient Boost (General Model)	11	0.901	16342	315.28205784489376	4095318	0.67	3907	351	70468	None
Green_R.bin.1	85.51	0.9	Gradient Boost (General Model)	11	0.881	8258	270.8881499395405	3045502	0.68	3308	461	32964	None
Green_S.bin.2	93.7	0.0	Gradient Boost (General Model)	11	0.917	20765	315.1834763948498	2874411	0.68	2796	213	64783	None
Green_T.bin.1	63.71	3.53	Neural Network (Specific Model)	11	0.886	3049	252.4032294746418	3752478	0.6	4397	1363	15548	None
Green_T.bin.3	94.2	1.58	Gradient Boost (General Model)	11	0.939	23046	331.44897959183675	3467295	0.62	3283	215	78282	None
Green_T.bin.4	89.01	0.71	Gradient Boost (General Model)	11	0.924	17829	307.8515940727436	4442537	0.67	4454	358	69616	None
Green_T.bin.6	87.48	2.3	Gradient Boost (General Model)	11	0.91	4687	277.4733769266698	3909234	0.7	4282	1009	21660	None
Green_T.bin.8	81.63	1.22	Gradient Boost (General Model)	11	0.918	16328	304.0302176696543	3871348	0.7	3905	311	87303	None
Green_U.bin.3	78.8	3.4	Gradient Boost (General Model)	11	0.899	3918	254.2701738742755	3794152	0.68	4486	1083	24659	None
Green_V.bin.10	50.42	6.33	Gradient Boost (General Model)	11	0.907	3100	240.2946564885496	2078466	0.65	2620	713	17031	None
Green_V.bin.11	55.03	0.7	Gradient Boost (General Model)	11	0.905	8218	282.14488061513555	2303560	0.68	2471	373	26628	None
Green_V.bin.2	55.73	1.22	Gradient Boost (General Model)	11	0.946	8294	316.69767441860466	2110622	0.65	2107	302	23819	None
Green_V.bin.3	93.03	0.23	Neural Network (Specific Model)	11	0.896	30880	325.92643132601603	3671725	0.58	3371	226	141020	None
Green_V.bin.4	77.34	0.75	Gradient Boost (General Model)	11	0.915	9222	312.8314654260943	4834769	0.57	4729	652	37519	None
Green_V.bin.5	91.06	3.24	Gradient Boost (General Model)	11	0.914	24532	306.75303415184874	3557515	0.71	3543	303	72811	None
Green_V.bin.8	51.44	7.12	Neural Network (Specific Model)	11	0.927	4096	262.0449541284404	1844202	0.67	2180	522	13506	None
Green_W.bin.2	88.63	0.68	Neural Network (Specific Model)	11	0.805	7320	290.5442940633651	7029738	0.42	6502	1214	50011	None
Green_X.bin.1	100.0	0.29	Gradient Boost (General Model)	11	0.887	29028	344.6890278567368	4093587	0.62	3518	246	128292	None
