Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
GCF_000220235.1	part10.bin.3	85.06	22.45	22.50	NZ_GL982464.1 Prevotella nigrescens ATCC 33563 SCAFFOLD1, whole genome shotgun sequence	part10.bin.3.fa_NODE_48_length_84872_cov_117.370456
GCA_015256945.1	part10.bin.33	98.35	79.96	89.49	JABZLB010000006.1 MAG: Prevotellaceae bacterium isolate JCVI_32_bin.40 NODE_103_length_88586_cov_41.115982, whole genome shotgun sequence	part10.bin.33.fa_NODE_761_length_27841_cov_6.445188
GCA_013333935.1	part10.bin.33	85.53	16.51	18.69	JABCNV010000033.1 MAG: Prevotella sp. isolate P-A-F_MAG_00002 ORAL_C-P_MAG_00002-c_000000014532, whole genome shotgun sequence	part10.bin.33.fa_NODE_761_length_27841_cov_6.445188
GCA_013332525.2	part10.bin.4	96.40	78.62	88.73	JABCOP020000001.1 MAG: Candidatus Gracilibacteria bacterium isolate P-C-F_MAG_00005 ORAL_S-P_MAG_00005-c_000000021572, whole genome shotgun sequence	part10.bin.4.fa_NODE_422_length_36693_cov_5.499918
GCA_003260345.1	part10.bin.4	91.93	62.68	69.71	MORC01000001.1 Candidatus Gracilibacteria bacterium GN02-873 GN02_873_C1, whole genome shotgun sequence	part10.bin.4.fa_NODE_422_length_36693_cov_5.499918
GCA_013333285.2	part10.bin.41	97.83	72.81	95.96	JABCPF020000001.1 MAG: Prevotella sp. isolate T-B-M_MAG_00006 ORAL_M-T_MAG_00006-c_000000021571, whole genome shotgun sequence	part10.bin.41.fa_NODE_193_length_50034_cov_12.138938
GCF_002015045.1	part10.bin.49	96.94	81.24	89.62	NZ_MUXX01000001.1 Haemophilus paraphrohaemolyticus strain CCUG 3718 3718T_ctg_0000001, whole genome shotgun sequence	part10.bin.49.fa_NODE_25_length_106067_cov_8.507244
GCF_002015035.1	part10.bin.49	91.68	53.94	58.97	NZ_MUXY01000001.1 Haemophilus parahaemolyticus strain CCUG 3716 3716T_ctg_0000001, whole genome shotgun sequence	part10.bin.49.fa_NODE_25_length_106067_cov_8.507244
GCA_018373095.1	part10.bin.49	90.11	45.71	46.85	JAHAHT010000160.1 Haemophilus parahaemolyticus isolate L3_083_239G1_dasL3_083_239G1_concoct_45 L3_083_239G1_scaffold_10223, whole genome shotgun sequence	part10.bin.49.fa_NODE_25_length_106067_cov_8.507244
GCF_000174815.1	part10.bin.60	93.51	36.63	54.08	NZ_ACNN01000037.1 Porphyromonas endodontalis ATCC 35406 contig00004, whole genome shotgun sequence	part10.bin.60.fa_NODE_3937_length_10601_cov_3.705765
GCF_022288825.1	part10.bin.62	98.12	79.44	91.58	NZ_JAKOOW010000001.1 Kingella sp. CICC 24913 NMDC70033523_1, whole genome shotgun sequence	part10.bin.62.fa_NODE_467_length_34630_cov_6.226811
GCA_003640335.1	part10.bin.66	97.19	77.77	63.17	RBKG01000045.1 MAG: Porphyromonas sp. isolate bin_26 NODE_10052_length_5862_cov_12.7048, whole genome shotgun sequence	part10.bin.66.fa_NODE_116_length_60996_cov_13.935725
GCA_927910985.1	part10.bin.67	96.53	77.81	59.21	CAKMOP010000001.1 TPA_asm: uncultured Porphyromonas sp. isolate ERR3827286_bin.2_metaWRAP_v1.1_MAG genome assembly, contig: ERZ4768129.146, whole genome shotgun sequence	part10.bin.67.fa_NODE_142_length_57320_cov_7.795093
GCF_014647755.1	part10.bin.67	85.08	16.13	17.88	NZ_BMPU01000001.1 Porphyromonas pasteri strain JCM 30531 sequence1, whole genome shotgun sequence	part10.bin.67.fa_NODE_142_length_57320_cov_7.795093
GCA_015258065.1	part10.bin.7	97.74	89.27	88.21	JABZIZ010000010.1 MAG: Lachnospiraceae bacterium isolate JCVI_13_bin.1 NODE_10_length_100757_cov_6.327861, whole genome shotgun sequence	part10.bin.7.fa_NODE_13_length_135257_cov_39.407213
GCF_001591705.1	part11.bin.10	97.76	47.22	83.25	NZ_BCVK01000001.1 Lactococcus lactis subsp. cremoris NBRC 100676, whole genome shotgun sequence	part11.bin.10.fa_NODE_548_length_18774_cov_24.628132
GCF_900099625.1	part11.bin.10	90.51	21.99	41.57	NZ_FMTF01000051.1 Lactococcus lactis strain ATCC 19435, whole genome shotgun sequence	part11.bin.10.fa_NODE_548_length_18774_cov_24.628132
GCF_016651435.1	part11.bin.14	96.85	68.99	81.38	NZ_JAEPRJ010000001.1 Catonella massiliensis strain Marseille-Q4567 NODE_1_length_3119400_cov_41.702389, whole genome shotgun sequence	part11.bin.14.fa_NODE_15_length_82844_cov_36.400162
GCA_916438995.1	part11.bin.14	92.20	45.47	58.03	CAKAGA010000001.1 TPA_asm: uncultured Catonella sp. isolate DRR214959_bin.14_metaWRAP_v1.1_MAG genome assembly, contig: BNJS01000551, whole genome shotgun sequence	part11.bin.14.fa_NODE_15_length_82844_cov_36.400162
GCA_916439065.1	part11.bin.14	88.89	22.38	25.58	CAKAGD010000001.1 TPA_asm: uncultured Catonella sp. isolate DRR214959_bin.5_metaWRAP_v1.1_MAG genome assembly, contig: BNJS01000515, whole genome shotgun sequence	part11.bin.14.fa_NODE_15_length_82844_cov_36.400162
GCF_007990445.1	part11.bin.17	97.60	66.51	85.10	NZ_AP019841.1 Leptotrichia wadei strain JMUB3936 chromosome, complete genome	part11.bin.17.fa_NODE_36_length_65410_cov_8.665290
GCF_018128245.1	part11.bin.17	93.88	13.92	15.38	NZ_CP072378.1 Leptotrichia sp. oral taxon 221 strain F0705 chromosome, complete genome	part11.bin.17.fa_NODE_36_length_65410_cov_8.665290
GCF_007990545.2	part11.bin.17	92.95	46.93	58.36	NZ_AP019829.2 Leptotrichia wadei strain JCM16777 chromosome, complete genome	part11.bin.17.fa_NODE_36_length_65410_cov_8.665290
GCF_018128225.1	part11.bin.17	91.57	13.60	15.72	NZ_CP072377.1 Leptotrichia sp. oral taxon 218 strain F0707 chromosome, complete genome	part11.bin.17.fa_NODE_36_length_65410_cov_8.665290
GCF_008327825.1	part11.bin.17	90.64	40.38	46.43	NZ_AP019827.1 Leptotrichia shahii strain JCM16776 chromosome, complete genome	part11.bin.17.fa_NODE_36_length_65410_cov_8.665290
GCA_013333035.2	part11.bin.18	97.68	89.57	85.70	JABCPQ020000001.1 MAG: Clostridiales bacterium isolate T-D-F_MAG_00006 ORAL_K-T_MAG_00006-c_000000001957, whole genome shotgun sequence	part11.bin.18.fa_NODE_3_length_135071_cov_65.035833
GCA_013333395.2	part11.bin.18	90.55	57.02	42.18	JABCOX020000001.1 MAG: Clostridiales bacterium isolate T-A-F_MAG_00012 ORAL_C-T_MAG_00012-c_000000002041, whole genome shotgun sequence	part11.bin.18.fa_NODE_3_length_135071_cov_65.035833
GCF_000160855.1	part11.bin.19	99.83	45.06	92.98	NZ_GG700800.1 Lactobacillus helveticus DSM 20075 = CGMCC 1.1877 strain DSM 20075 SCAFFOLD49, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_001434975.1	part11.bin.19	91.32	26.58	52.41	NZ_AZEL01000005.1 Lactobacillus gallinarum DSM 10532 = JCM 2011 strain DSM 10532 NODE_10, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_900103655.1	part11.bin.19	89.98	7.81	18.21	NZ_FMXC01000083.1 Lactobacillus kefiranofaciens strain ATCC 43761, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCA_930989465.1	part11.bin.19	89.74	14.25	16.43	CAKNLX010000001.1 TPA_asm: uncultured Lactobacillus sp. isolate ERR3414580_bin.46_metaWRAP_v1.1_MAG genome assembly, contig: NODE_557_length_81436_cov_78.388420, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_001436305.1	part11.bin.19	88.96	7.16	15.77	NZ_AZFO01000001.1 Lactobacillus ultunensis DSM 16047 Scaffold1, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_002706375.1	part11.bin.19	88.75	7.01	15.56	NZ_CP017706.1 Lactobacillus amylovorus DSM 20531 chromosome, complete genome	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_000615285.1	part11.bin.19	88.44	8.76	17.01	NZ_BALU01000035.1 Lactobacillus kitasatonis DSM 16761 = JCM 1039, whole genome shotgun sequence	part11.bin.19.fa_NODE_1755_length_9543_cov_9.379216
GCF_014202695.1	part11.bin.2	96.29	41.75	80.07	NZ_JACHHH010000001.1 Oribacterium sinus strain DSM 17245 Ga0415240_01, whole genome shotgun sequence	part11.bin.2.fa_NODE_437_length_21495_cov_103.274300
GCA_015258095.1	part11.bin.23	97.61	83.36	89.63	JABZIV010000010.1 MAG: Lachnospiraceae bacterium isolate JCVI_3_bin.3 NODE_10_length_57850_cov_4.472262, whole genome shotgun sequence	part11.bin.23.fa_NODE_23_length_75150_cov_17.983567
GCF_000613925.1	part11.bin.24	98.15	60.33	83.10	NZ_BAJX01000055.1 Prevotella histicola JCM 15637 = DNF00424 strain JCM 15637, whole genome shotgun sequence	part11.bin.24.fa_NODE_181_length_34788_cov_20.934356
GCF_000278725.1	part11.bin.26	97.95	82.33	90.49	NZ_ALCA01000001.1 Actinomyces sp. ICM47 ctg120010148499, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_902373545.1	part11.bin.26	88.29	38.41	40.60	CABKMZ010000001.1 uncultured Actinomyces sp. isolate MGYG-HGUT-01285 genome assembly, contig: NODE_11_length_114815_cov_22.1871, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_019425105.1	part11.bin.26	87.59	20.01	20.06	JAHYYD010000001.1 MAG: Actinobacteria bacterium isolate HRGM_Genome_0302 HRGM_Genome_0302_1, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_000466265.1	part11.bin.26	87.00	31.38	34.86	NZ_KE952098.1 Actinomyces sp. oral taxon 172 str. F0311 Scaffold0, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_018375675.1	part11.bin.26	86.78	25.05	25.84	JAHACW010000023.1 Actinomyces sp. isolate L2_047_000G1_dasL2_047_000G1_concoct_43 L2_047_000G1_scaffold_1006, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_005696695.1	part11.bin.26	86.57	27.26	28.93	NZ_CP040006.1 Schaalia odontolytica strain XH001 chromosome, complete genome	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_916438945.1	part11.bin.26	86.56	26.65	25.32	CAKAGS010000001.1 TPA_asm: uncultured Actinomycetaceae bacterium isolate DRR214959_bin.12_metaWRAP_v1.1_MAG genome assembly, contig: BNJS01001053, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_002847525.1	part11.bin.26	86.55	26.04	27.42	NZ_PKKM01000001.1 Schaalia odontolytica strain UMB0018 ERR1203605.17957_1_17.1, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_001838165.1	part11.bin.26	86.51	27.77	29.70	KV835854.1 Actinomyces sp. HMSC035G02 genomic scaffold Scaffold0, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_916438365.1	part11.bin.26	86.47	20.24	19.37	CAKAEY010000001.1 TPA_asm: uncultured Sanguibacter sp. isolate DRR214962_bin.2_metaWRAP_v1.1_MAG genome assembly, contig: BNJV01000374, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_001064145.1	part11.bin.26	86.45	27.26	28.89	JVOJ01000004.1 Sanguibacter keddieii strain 250_SKED 729_52193_1410633_2_,...,423+, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_900556405.1	part11.bin.26	86.35	19.84	17.60	USPB01000001.1 uncultured Actinomyces sp. isolate UMGS1934 genome assembly, contig: NODE_216_length_50318_cov_26.014723, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_916439125.1	part11.bin.26	86.29	24.11	26.20	CAKAHQ010000001.1 TPA_asm: uncultured Actinomyces sp. isolate DRR214959_bin.8_metaWRAP_v1.1_MAG genome assembly, contig: BNJS01000723, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_001072465.1	part11.bin.26	86.20	25.42	28.08	JVKM01000001.1 Xylanimonas cellulosilytica strain 352_XCEL 110_66223_1022100, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_000411415.1	part11.bin.26	86.16	23.13	25.28	KE150450.1 Actinomyces sp. HPA0247 genomic scaffold acAqT-supercont1.1, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_019429565.1	part11.bin.26	86.06	27.36	28.93	NZ_JAHXSA010000001.1 Schaalia sp. ORNL0103 Contig1, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_009730335.1	part11.bin.26	85.79	24.22	26.49	NZ_CP046315.1 Schaalia odontolytica strain FDAARGOS_732 chromosome, complete genome	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_900128465.1	part11.bin.26	85.08	17.77	18.38	NZ_LT635862.1 Actinomyces bouchesdurhonensis strain Marseille-P2825T, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCF_900445025.1	part11.bin.26	84.96	17.44	19.25	NZ_UAPR01000026.1 Schaalia odontolytica strain NCTC9935, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_902373435.1	part11.bin.26	84.88	21.46	20.40	CABKMD010000001.1 uncultured Actinomyces sp. isolate MGYG-HGUT-01273 genome assembly, contig: NODE_51_length_93043_cov_6.51724, whole genome shotgun sequence	part11.bin.26.fa_NODE_17_length_81067_cov_53.332124
GCA_015257455.1	part11.bin.27	93.21	54.81	65.82	JABZKD010000010.1 MAG: Candidatus Nanosynbacter sp. isolate JCVI_44_bin.1 NODE_10_length_21851_cov_8.466474, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_013333135.2	part11.bin.27	92.62	55.45	68.10	JABCPJ020000001.1 MAG: Candidatus Saccharibacteria bacterium isolate T-B-M_MAG_00012 ORAL_M-T_MAG_00012-c_000000008851, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_013333375.2	part11.bin.27	92.55	51.09	54.02	JABCOY020000001.1 MAG: Candidatus Saccharibacteria bacterium isolate T-A-F_MAG_00015 ORAL_C-T_MAG_00015-c_000000002734, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_015257445.1	part11.bin.27	92.45	41.05	48.79	JABZKE010000095.1 MAG: Candidatus Nanosynbacter sp. isolate JCVI_47_bin.30 NODE_10003_length_2720_cov_4.737336, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_007845165.1	part11.bin.27	91.91	54.81	56.53	SDRH01000009.1 TM7 phylum sp. oral taxon 351 strain TM7_HOT_351-SAG3 351SAG3_NODE_10_20, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_013332955.2	part11.bin.27	91.65	48.17	58.14	JABCPS020000001.1 MAG: Candidatus Saccharibacteria bacterium isolate T-D-F_MAG_00010 ORAL_K-T_MAG_00010-c_000000000623, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_015257485.1	part11.bin.27	89.43	41.50	46.06	JABZKC010000010.1 MAG: Candidatus Nanosynbacter sp. isolate JCVI_32_bin.36 NODE_1156_length_21518_cov_59.472907, whole genome shotgun sequence	part11.bin.27.fa_NODE_323_length_25331_cov_7.079918
GCA_927911595.1	part11.bin.29	96.71	51.01	65.42	CAKMQK010000001.1 TPA_asm: uncultured Haemophilus sp. isolate ERR3827251_bin.2_metaWRAP_v1.1_MAG genome assembly, contig: ERZ4768301.84, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_905215245.1	part11.bin.29	96.07	47.80	60.20	CAJMPC010000001.1 TPA_asm: uncultured bacterium isolate SRR413594-bin.6 genome assembly, contig: NODE_333_length_41666_cov_2.741679, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_019423025.1	part11.bin.29	95.79	48.64	68.98	JAHZCD010000001.1 MAG: Haemophilus sp. isolate HRGM_Genome_2181 HRGM_Genome_2181_1, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_905207935.1	part11.bin.29	95.78	45.38	62.04	CAJLNI010000001.1 TPA_asm: uncultured Haemophilus sp. isolate SRR413574-bin.5 genome assembly, contig: NODE_240_length_63905_cov_9.122882, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_001815355.1	part11.bin.29	95.68	51.29	69.69	NZ_KV820351.1 Haemophilus sp. HMSC068C11 Scaffold0, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_014931395.1	part11.bin.29	95.63	41.73	64.89	NZ_CP063120.1 Haemophilus parainfluenzae strain M1C137_2 chromosome, complete genome	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_900756155.1	part11.bin.29	95.47	50.21	69.01	CAAEJV010000001.1 TPA_asm: Pasteurellaceae bacterium, isolate HGM20799, WGS project CAAEJV010000000 data, contig: ERS473369_3_k99_66, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_015255025.1	part11.bin.29	95.46	46.41	56.99	JABZOY010000100.1 MAG: Haemophilus sp. isolate JCVI_47_bin.5 NODE_100_length_5587_cov_25.810708, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_000191405.1	part11.bin.29	95.34	42.78	64.92	NZ_GL872339.1 Haemophilus parainfluenzae ATCC 33392 SCAFFOLD1, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_900756875.1	part11.bin.29	95.27	46.21	62.26	CAAELW010000001.1 TPA_asm: Pasteurellaceae bacterium, isolate HGM20789, WGS project CAAELW010000000 data, contig: ERS537260_13_k99_371, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_001679485.1	part11.bin.29	95.23	44.75	66.83	NZ_LZOZ01000001.1 Haemophilus sp. CCUG 60358 contig_1, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_003252795.1	part11.bin.29	95.12	49.33	66.90	NZ_QEPQ01000001.1 Haemophilus parainfluenzae strain C2004002729 C2004002729_S4_ctg_497, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_003252725.1	part11.bin.29	95.10	46.65	66.62	NZ_QEPO01000001.1 Haemophilus parainfluenzae strain C2004000280 C2004000280_S1_ctg_1301, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_003252755.1	part11.bin.29	94.99	42.90	63.72	NZ_QEPT01000001.1 Haemophilus parainfluenzae strain C2006002596 C2006002596_S9_ctg_1062, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_014931275.1	part11.bin.29	94.96	45.59	65.71	NZ_CP063110.1 Haemophilus parainfluenzae strain M1C160_1 chromosome, complete genome	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_000210895.1	part11.bin.29	94.85	46.27	68.97	NC_015964.1 Haemophilus parainfluenzae T3T1, complete sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_018381425.1	part11.bin.29	94.76	31.17	52.10	JAGZRY010000371.1 Haemophilus parainfluenzae isolate L2_031_000G1_dasL2_031_000G1_maxbin2.maxbin.023 L2_031_000G1_scaffold_10043, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_003253005.1	part11.bin.29	94.66	43.66	60.14	NZ_QEPZ01000001.1 Haemophilus parainfluenzae strain C2008003258 C2008003258_S23_ctg_1017, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_905205995.1	part11.bin.29	94.63	43.55	63.14	CAJLFU010000001.1 TPA_asm: uncultured Haemophilus sp. isolate ERR1430443-bin.35 genome assembly, contig: NODE_123_length_128574_cov_12.450354, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_905214375.1	part11.bin.29	94.61	45.80	56.33	CAJMMG010000001.1 TPA_asm: uncultured bacterium isolate ERR1600749-bin.20 genome assembly, contig: NODE_6_length_302762_cov_605.600554, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCA_019423005.1	part11.bin.29	94.60	40.40	43.24	JAHZCF010000001.1 MAG: Haemophilus sp. isolate HRGM_Genome_2183 HRGM_Genome_2183_1, whole genome shotgun sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_900638025.1	part11.bin.29	93.54	35.24	51.90	NZ_LR134481.1 Haemophilus parainfluenzae strain NCTC10665 chromosome 1, complete sequence	part11.bin.29.fa_NODE_456_length_20950_cov_21.924288
GCF_003054025.1	part13.bin.1	95.78	75.23	81.32	NZ_QBKG01000001.1 Capnocytophaga leadbetteri strain DSM 22902 Ga0183452_101, whole genome shotgun sequence	part13.bin.1.fa_NODE_87_length_88113_cov_15.422665
GCA_900759325.1	part13.bin.11	98.51	87.60	91.06	CAAEUW010000001.1 TPA_asm: uncultured Peptostreptococcus sp., isolate HGM13558, WGS project CAAEUW010000000 data, contig: ERS608583_75_k95_1811, whole genome shotgun sequence	part13.bin.11.fa_NODE_22_length_139756_cov_26.704011
GCF_000147675.1	part13.bin.11	88.21	41.07	49.26	NZ_ADGQ01000074.1 Peptostreptococcus stomatis DSM 17678 contig00005, whole genome shotgun sequence	part13.bin.11.fa_NODE_22_length_139756_cov_26.704011
GCF_000758885.1	part13.bin.11	84.53	13.21	15.81	NZ_JRNB01000001.1 Peptostreptococcus sp. MV1 contig001, whole genome shotgun sequence	part13.bin.11.fa_NODE_22_length_139756_cov_26.704011
GCF_000758755.1	part13.bin.14	96.91	72.93	89.47	NZ_JRMV01000001.1 Actinomyces sp. S6-Spd3 contig001, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCF_900155605.1	part13.bin.14	94.58	73.11	86.11	NZ_LT707419.1 Actinomyces marseillensis strain Marseille-P2818T, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCA_900554605.1	part13.bin.14	93.74	70.27	56.09	USHU01000001.1 uncultured Actinomyces sp. isolate UMGS1731 genome assembly, contig: NODE_44_length_30252_cov_2.771302, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCF_000308055.1	part13.bin.14	86.33	15.06	16.47	NZ_CAGY01000010.1 Actinomyces sp. ph3, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCF_001070855.1	part13.bin.14	86.22	17.24	19.45	NZ_JVLH01000002.1 Trueperella pyogenes strain 331_TPYO 12_26860_845376, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCA_900541895.1	part13.bin.14	85.88	14.57	15.66	UWSI01000001.1 uncultured Actinomyces sp. isolate UMGS402 genome assembly, contig: NODE_7_length_176809_cov_7.29918, whole genome shotgun sequence	part13.bin.14.fa_NODE_238_length_57147_cov_9.502838
GCA_003260355.1	part13.bin.16	96.56	77.86	80.63	MPSQ01000001.1 SR1 bacterium human oral taxon HOT-345 SR1_345_C1, whole genome shotgun sequence	part13.bin.16.fa_NODE_346_length_45665_cov_8.317672
GCA_900556355.1	part13.bin.24	95.44	80.24	47.97	UNSP01000001.1 Candidatus Saccharibacteria bacterium isolate UMGS1926 genome assembly, contig: NODE_1973_length_17347_cov_2.499480, whole genome shotgun sequence	part13.bin.24.fa_NODE_8_length_190157_cov_368.831685
GCA_007845355.1	part13.bin.24	95.18	80.92	74.77	SDRQ01000010.1 TM7 phylum sp. oral taxon 352 strain TM7_HOT_352-SAG3 352SAG3_NODE_10_26, whole genome shotgun sequence	part13.bin.24.fa_NODE_8_length_190157_cov_368.831685
GCA_915070155.1	part13.bin.24	95.09	79.50	74.22	CAJZFK010000001.1 TPA_asm: uncultured Candidatus Saccharibacteria bacterium isolate SRR2037088_bin.10_metaWRAP_v1.1_MAG genome assembly, contig: NODE_15_length_34625_cov_4.866532, whole genome shotgun sequence	part13.bin.24.fa_NODE_8_length_190157_cov_368.831685
GCF_022828365.1	part13.bin.24	94.99	76.19	82.13	NZ_JAJQJU010000001.1 Candidatus Nanosynbacter sp. TM7-087 c_000000000001, whole genome shotgun sequence	part13.bin.24.fa_NODE_8_length_190157_cov_368.831685
GCA_905370345.1	part13.bin.24	94.91	82.37	82.46	CAJPKE010000001.1 Candidatus Saccharibacteria bacterium UBA6209 isolate DRR046104-mag-bin.8 genome assembly, contig: DRR046104-mag-bin.8_5, whole genome shotgun sequence	part13.bin.24.fa_NODE_8_length_190157_cov_368.831685
