Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
part17.bin.33	89.65	0.36	Neural Network (Specific Model)	11	0.883	16569	304.590687601516	1909460	0.32	1847	180	52384	None
part17.bin.37	53.09	0.87	Gradient Boost (General Model)	11	0.907	5306	260.2662889518414	909684	0.39	1059	206	15922	None
part17.bin.6	88.61	0.43	Neural Network (Specific Model)	11	0.901	5018	270.2001579155152	2274164	0.57	2533	619	68328	None
part17.bin.7	99.02	0.01	Neural Network (Specific Model)	11	0.82	21556	342.3566104354649	3186893	0.45	2549	213	54447	None
part17.bin.8	67.33	1.9	Gradient Boost (General Model)	11	0.93	2965	265.56744536548604	1134195	0.4	1327	419	13275	None
part18.bin.1	93.73	0.47	Neural Network (Specific Model)	11	0.87	24429	344.2604122843921	2817353	0.41	2377	152	103589	None
part18.bin.12	99.88	0.44	Neural Network (Specific Model)	11	0.915	45929	318.8892078071183	1819393	0.34	1742	80	104871	None
part18.bin.13	98.69	0.42	Neural Network (Specific Model)	11	0.888	58172	354.38028169014086	2037978	0.58	1704	57	114249	None
part18.bin.17	97.21	1.01	Neural Network (Specific Model)	11	0.881	37366	306.7513711151737	1711377	0.29	1641	97	144590	None
part18.bin.19	71.89	0.38	Neural Network (Specific Model)	11	0.89	9322	315.3867538838921	1298795	0.29	1223	187	53579	None
part18.bin.27	84.97	5.67	Neural Network (Specific Model)	11	0.903	5242	259.8886063072228	1692454	0.4	1966	450	21646	None
part19.bin.13	47.95	2.25	Neural Network (Specific Model)	11	0.891	16531	300.25429553264604	880695	0.37	873	97	82874	None
part19.bin.17	88.34	6.3	Neural Network (Specific Model)	11	0.863	7717	330.7790028763183	2396101	0.47	2086	414	34581	None
part19.bin.18	95.5	0.11	Neural Network (Specific Model)	11	0.866	123457	359.52756311179803	2414220	0.56	1941	30	426348	None
part19.bin.2	84.97	5.86	Neural Network (Specific Model)	11	0.903	14363	294.9338747099768	1687659	0.38	1724	196	44980	None
part19.bin.27	63.9	6.08	Neural Network (Specific Model)	11	0.891	14619	305.84850993377484	1241352	0.39	1208	135	69025	None
part19.bin.28	76.58	0.67	Neural Network (Specific Model)	11	0.851	13924	287.428093645485	1512346	0.33	1495	187	53971	None
part19.bin.35	87.71	0.19	Neural Network (Specific Model)	11	0.904	14463	293.63157894736844	610189	0.36	627	65	36725	None
part19.bin.36	99.76	0.47	Neural Network (Specific Model)	11	0.878	18714	347.6323383084577	2384240	0.45	2010	176	53451	None
part2.bin.1	65.99	0.52	Neural Network (Specific Model)	11	0.873	7671	334.9603118355776	1621001	0.45	1411	246	21350	None
part2.bin.11	80.55	0.39	Gradient Boost (General Model)	4	0.906	4195	263.62853470437017	677721	0.37	778	183	24563	None
part2.bin.20	54.01	2.66	Gradient Boost (General Model)	11	0.94	9068	289.7125925925926	622848	0.26	675	90	28231	None
part2.bin.35	92.25	0.35	Gradient Boost (General Model)	11	0.842	28008	317.86348314606744	2013707	0.31	1780	93	180309	None
part2.bin.37	56.71	3.21	Neural Network (Specific Model)	11	0.883	2680	309.79774705581156	2051676	0.49	1953	790	9755	None
part2.bin.39	83.64	2.43	Neural Network (Specific Model)	11	0.888	9794	281.415031469826	2560502	0.57	2701	377	43186	None
part2.bin.6	66.96	2.95	Gradient Boost (General Model)	11	0.885	4153	287.3305637982196	1638852	0.69	1685	445	15146	None
part2.bin.61	57.25	2.4	Gradient Boost (General Model)	11	0.906	2045	233.36030204962245	1429701	0.6	1854	716	6207	None
part2.bin.7	94.33	2.24	Neural Network (Specific Model)	11	0.867	10755	288.5779467680608	2619738	0.58	2630	348	43155	None
part2.bin.8	66.77	3.9	Neural Network (Specific Model)	11	0.872	10291	278.86522346368713	1372305	0.39	1432	189	31802	None
part2.bin.9	76.88	6.23	Gradient Boost (General Model)	11	0.891	3251	269.010632014176	1531321	0.62	1693	531	12029	None
part20.bin.11	95.01	3.08	Neural Network (Specific Model)	11	0.843	30174	337.45644114921225	2587865	0.39	2158	145	113750	None
part20.bin.15	93.87	0.02	Neural Network (Specific Model)	11	0.836	26452	351.161599333611	3023721	0.41	2401	178	132251	None
part20.bin.18	95.96	2.26	Neural Network (Specific Model)	11	0.858	43359	318.55396618985696	2567033	0.54	2307	154	149598	None
part20.bin.2	68.04	4.06	Neural Network (Specific Model)	11	0.855	4930	296.18842105263155	1971469	0.43	1900	471	21881	None
part20.bin.21	51.8	8.44	Neural Network (Specific Model)	11	0.874	2029	260.4044009779951	1825834	0.47	2045	924	9224	None
part22.bin.1	99.79	0.07	Neural Network (Specific Model)	11	0.868	60175	367.0758853288364	2254934	0.56	1779	77	132299	None
part22.bin.10	86.19	0.88	Neural Network (Specific Model)	11	0.892	48844	325.74350433044634	1642893	0.39	1501	43	196617	None
part22.bin.14	94.89	0.41	Neural Network (Specific Model)	11	0.821	17892	329.9832308552264	2156189	0.6	1789	209	66576	None
part22.bin.15	97.55	0.28	Gradient Boost (General Model)	11	0.869	33483	316.15872259294565	2287313	0.37	2098	99	118161	None
part22.bin.16	77.8	0.7	Neural Network (Specific Model)	11	0.915	8354	287.9086053412463	1588381	0.28	1685	237	33240	None
part22.bin.18	98.63	0.29	Gradient Boost (General Model)	11	0.896	111259	322.53198469108804	1971611	0.47	1829	36	291089	None
part22.bin.19	91.67	2.78	Neural Network (Specific Model)	11	0.905	35618	324.9791666666667	722967	0.41	672	30	172666	None
part22.bin.20	99.41	1.21	Neural Network (Specific Model)	11	0.917	53024	336.94354387926217	1967162	0.57	1789	89	121281	None
part22.bin.21	97.02	1.48	Neural Network (Specific Model)	11	0.898	72888	322.66616314199393	1424794	0.28	1324	31	211221	None
part22.bin.22	94.35	0.26	Neural Network (Specific Model)	11	0.859	53149	351.864836872087	2367892	0.54	1931	73	125370	None
part22.bin.26	87.85	0.02	Neural Network (Specific Model)	11	0.903	14564	284.94161676646706	631393	0.36	668	57	64718	None
part22.bin.28	98.7	0.22	Gradient Boost (General Model)	11	0.88	24325	308.02097505668934	1849579	0.28	1764	123	81840	None
part22.bin.3	74.55	4.55	Gradient Boost (General Model)	11	0.92	8696	309.17692307692306	915909	0.28	910	136	47067	None
part22.bin.32	74.91	1.96	Gradient Boost (General Model)	11	0.919	56131	320.5226547543076	1636877	0.37	1567	68	102064	None
part22.bin.33	92.34	0.16	Neural Network (Specific Model)	11	0.896	103483	341.95979899497485	1365986	0.48	1194	35	186877	None
part22.bin.37	86.94	2.43	Gradient Boost (General Model)	11	0.862	5598	249.37190900098912	874761	0.53	1011	209	21305	None
part22.bin.38	99.94	0.1	Neural Network (Specific Model)	11	0.875	101362	303.5531707317073	2132707	0.49	2050	66	228858	None
part22.bin.4	77.19	1.29	Gradient Boost (General Model)	11	0.892	4736	297.9252275682705	1538585	0.43	1538	372	23392	None
part22.bin.40	97.02	1.77	Gradient Boost (General Model)	11	0.878	5810	301.9222141823444	2844948	0.66	2764	658	27764	None
part22.bin.43	87.02	1.14	Neural Network (Specific Model)	11	0.889	25245	302.4088235294118	1732413	0.38	1700	144	90206	None
part22.bin.45	51.54	3.13	Gradient Boost (General Model)	11	0.827	3472	261.31402895656515	1895372	0.32	2003	603	13278	None
part22.bin.5	100.0	0.82	Gradient Boost (General Model)	11	0.902	37885	331.7336130047195	2098556	0.55	1907	100	112625	None
part22.bin.9	69.43	10.59	Neural Network (Specific Model)	11	0.908	5292	304.35750708215295	1772282	0.66	1765	391	36727	None
part25.bin.1	88.88	0.11	Neural Network (Specific Model)	11	0.895	25118	325.7179104477612	730990	0.41	670	50	58897	None
part25.bin.2	53.36	0.63	Neural Network (Specific Model)	11	0.898	4146	273.573055028463	481060	0.4	527	130	10828	None
part25.bin.24	50.19	7.01	Neural Network (Specific Model)	11	0.912	5431	295.96753246753246	1047223	0.67	1078	240	34418	None
part25.bin.27	78.46	4.0	Gradient Boost (General Model)	11	0.855	5363	306.25025676138307	3133851	0.66	2921	712	17329	None
part25.bin.28	96.94	0.18	Neural Network (Specific Model)	11	0.884	80233	337.32874617737	1494746	0.48	1308	53	231564	None
part31.bin.1	95.39	0.93	Gradient Boost (General Model)	11	0.886	25091	299.725740848344	1743797	0.39	1721	142	79487	None
part31.bin.12	99.85	1.53	Neural Network (Specific Model)	11	0.878	34043	310.7294228949858	2241988	0.39	2114	105	104647	None
part31.bin.6	78.89	1.76	Neural Network (Specific Model)	11	0.882	4598	286.32325141776937	1541945	0.47	1587	427	24878	None
part31.bin.7	98.0	0.05	Gradient Boost (General Model)	11	0.9	98715	330.53057757644393	1943757	0.47	1766	37	284201	None
part31.bin.9	82.7	2.08	Neural Network (Specific Model)	11	0.887	22364	290.7808383233533	1639156	0.42	1670	110	105158	None
part6.bin.10	65.71	0.89	Gradient Boost (General Model)	11	0.913	5604	276.4735682819383	1234763	0.37	1362	260	26822	None
part6.bin.11	65.54	0.95	Neural Network (Specific Model)	4	0.849	5365	269.9201030927835	739405	0.35	776	187	22840	None
part6.bin.13	96.03	3.67	Neural Network (Specific Model)	4	0.893	149952	321.5189732142857	967167	0.35	896	12	221987	None
part6.bin.19	77.87	1.22	Gradient Boost (General Model)	11	0.891	6492	287.8102766798419	2201787	0.37	2277	413	31259	None
part6.bin.28	99.52	0.6	Neural Network (Specific Model)	11	0.84	17874	334.8618995633188	2186980	0.47	1832	152	75697	None
part6.bin.43	50.97	6.65	Gradient Boost (General Model)	11	0.928	9093	282.80299251870326	731410	0.23	802	111	30150	None
part6.bin.6	59.87	3.85	Neural Network (Specific Model)	11	0.837	5196	307.60379146919433	2321658	0.43	2110	562	48061	None
part6.bin.8	83.64	0.84	Neural Network (Specific Model)	11	0.862	16436	349.2121390689452	2061052	0.42	1697	189	69557	None
